Total games played,Session games played,Wins,Loses
71483,93,31,55
71508,25,3,21
71615,107,39,61
71648,33,6,25
71693,45,9,31
71732,39,8,28
71790,58,18,38
71962,172,69,95
72056,94,31,53
72098,42,10,30
72165,67,20,43
72190,25,2,22
72256,66,20,41
72310,54,16,37
72402,92,32,52
72469,67,18,41
72548,79,28,49
72605,57,19,38
72645,40,9,29
72710,65,21,42
72771,61,17,39
72842,71,23,42
72878,36,7,27
72931,53,14,36
73103,172,67,97
73197,94,33,54
73227,30,3,23
73276,49,11,31
73317,41,9,29
73352,35,7,27
73405,53,15,36
73472,67,20,42
73529,57,16,38
73590,61,18,38
73654,64,20,42
73768,114,42,66
73826,58,16,39
73883,57,19,38
73939,56,16,36
74024,85,29,47
74086,62,20,40
74130,44,11,32
74178,48,12,33
74226,48,14,33
74316,90,31,53
74398,82,27,49
74439,41,11,29
74571,132,51,76
74616,45,12,30
74728,112,41,65
74786,58,16,38
74830,44,11,30
74907,77,26,46
75013,106,38,61
75072,59,17,38
75117,45,11,30
75164,47,11,33
75222,58,16,37
75256,34,5,26
75348,92,32,53
75410,62,19,40
75492,82,28,51
75544,52,13,33
75581,37,6,27
75638,57,15,38
75699,61,17,40
75743,44,10,30
75823,80,26,50
75896,73,22,45
75944,48,11,34
75992,48,13,33
76030,38,7,28
76083,53,14,34
76169,86,29,50
76253,84,30,51
76324,71,21,44
76420,96,32,56
76473,53,13,34
76517,44,11,32
76588,71,24,45
76642,54,16,36
76726,84,28,52
76760,34,6,24
76859,99,35,55
76917,58,17,39
76958,41,10,28
77050,92,34,55
77078,28,4,24
77133,55,15,34
77188,55,15,35
77259,71,21,44
77316,57,17,37
77365,49,13,32
77403,38,7,27
77441,38,9,28
77478,37,6,28
77589,111,38,67
77656,67,21,41
77774,118,45,67
77875,101,34,58
77926,51,13,34
77988,62,19,41
78097,109,40,62
78159,62,20,38
78246,87,29,53
78314,68,22,44
78355,41,8,28
78418,63,19,40
78464,46,9,31
78510,46,10,28
78557,47,11,31
78608,51,13,33
78663,55,16,36
78706,43,9,29
78799,93,33,55
78831,32,6,26
78883,52,14,35
78945,62,15,37
